url,tagName,value,no_of_chars,fontSize,color,height,width,fontFamily,fontWeight,fontVariant,lineHeight,letterSpacing,wordSpacing,textAlign,textDecoration,textTransform,margin,padding,backgroundColor,backgroundImage,backgroundPosition,backgroundRepeat,backgroundSize
https://tympanus.net/Development/HoverGrid/,H2,177187.5,14,112.5px,"rgb(255, 255, 255)",auto,auto,"Onest, sans-serif",400,normal,112.5px,normal,0px,start,"none solid rgb(255, 255, 255)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/3DStackMotion/,BODY,635040.0,4410,12px,"rgb(255, 255, 255)",auto,auto,"""Kode Mono"", monospace",400,normal,normal,normal,0px,start,"none solid rgb(255, 255, 255)",none,none,none,"rgb(0, 0, 0)","url(""https://tympanus.net/Development/3DStackMotion/img/noise.png""), radial-gradient(circle, rgb(52, 33, 56) 0%, rgb(0, 0, 0) 100%)","0% 0%, 0% 0%","repeat, repeat","400px, 100% 720px"
https://tympanus.net/Development/3DStackMotion/,MAIN,628848.0,4367,12px,"rgb(255, 255, 255)",auto,auto,"""Kode Mono"", monospace",400,normal,normal,normal,0px,start,"none solid rgb(255, 255, 255)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/3DStackMotion/,DIV,225360.0,1565,12px,"rgb(255, 255, 255)",auto,auto,"""Kode Mono"", monospace",400,normal,normal,normal,0px,start,"none solid rgb(255, 255, 255)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/3DStackMotion/,DIV,225360.0,1565,12px,"rgb(255, 255, 255)",auto,auto,"""Kode Mono"", monospace",400,normal,normal,normal,0px,start,"none solid rgb(255, 255, 255)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/3DStackMotion/,DIV,216864.0,1506,12px,"rgb(255, 255, 255)",auto,auto,"""Kode Mono"", monospace",400,normal,normal,normal,0px,start,"none solid rgb(255, 255, 255)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/3DStackMotion/,DIV,216864.0,1506,12px,"rgb(255, 255, 255)",auto,auto,"""Kode Mono"", monospace",400,normal,normal,normal,0px,start,"none solid rgb(255, 255, 255)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/ReflectionScroll/,BODY,1489824.0,10346,12px,"rgb(41, 53, 186)",auto,auto,"ouma-latin-variable, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Helvetica, Arial, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(41, 53, 186)",uppercase,none,none,"rgb(26, 11, 55)",none,0% 0%,repeat,auto
https://tympanus.net/Development/ReflectionScroll/,MAIN,1484064.0,10306,12px,"rgb(41, 53, 186)",auto,auto,"ouma-latin-variable, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Helvetica, Arial, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(41, 53, 186)",uppercase,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/ReflectionScroll/,DIV,768816.0,5339,12px,"rgb(41, 53, 186)",auto,auto,"ouma-latin-variable, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Helvetica, Arial, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(41, 53, 186)",uppercase,none,none,"rgb(26, 11, 55)",none,0% 0%,repeat,auto
https://tympanus.net/Development/ReflectionScroll/,DIV,768816.0,5339,12px,"rgb(41, 53, 186)",auto,auto,"ouma-latin-variable, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Helvetica, Arial, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(41, 53, 186)",uppercase,none,none,"rgb(26, 11, 55)",none,0% 0%,repeat,auto
https://tympanus.net/Development/ReflectionScroll/,DIV,766512.0,5323,12px,"rgb(41, 53, 186)",auto,auto,"ouma-latin-variable, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Helvetica, Arial, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(41, 53, 186)",uppercase,none,none,"rgba(0, 0, 0, 0)","url(""https://tympanus.net/Development/ReflectionScroll/img/noise.png""), radial-gradient(circle, rgb(38, 3, 130) 0%, rgb(14, 3, 33) 100%)","0% 0%, 0% 0%","repeat, repeat","400px, 100% 720px"
https://tympanus.net/Development/ReflectionScroll/,DIV,766512.0,5323,12px,"rgb(41, 53, 186)",auto,auto,"ouma-latin-variable, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Helvetica, Arial, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(41, 53, 186)",uppercase,none,none,"rgba(0, 0, 0, 0)","url(""https://tympanus.net/Development/ReflectionScroll/img/noise.png""), radial-gradient(circle, rgb(38, 3, 130) 0%, rgb(14, 3, 33) 100%)","0% 0%, 0% 0%","repeat, repeat","400px, 100% 720px"
https://tympanus.net/Development/RevealingWebGLImages,BODY,80064.0,556,12px,"rgb(240, 240, 240)",auto,auto,"ui-monospace, monospace",600,normal,normal,normal,0px,start,"none solid rgb(240, 240, 240)",none,none,none,"rgb(16, 16, 20)",none,0% 0%,repeat,auto
https://tympanus.net/Development/RevealingWebGLImages,H1,79200.0,22,60px,"rgb(240, 240, 240)",auto,auto,"gabriella, sans-serif",900,normal,72px,normal,0px,start,"none solid rgb(240, 240, 240)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/RevealingWebGLImages,H1,79200.0,22,60px,"rgb(240, 240, 240)",auto,auto,"gabriella, sans-serif",900,normal,72px,normal,0px,start,"none solid rgb(240, 240, 240)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/RevealingWebGLImages,H1,79200.0,22,60px,"rgb(240, 240, 240)",auto,auto,"gabriella, sans-serif",900,normal,72px,normal,0px,start,"none solid rgb(240, 240, 240)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/RevealingWebGLImages,H1,79200.0,22,60px,"rgb(240, 240, 240)",auto,auto,"gabriella, sans-serif",900,normal,72px,normal,0px,start,"none solid rgb(240, 240, 240)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/RevealingWebGLImages,H1,79200.0,22,60px,"rgb(240, 240, 240)",auto,auto,"gabriella, sans-serif",900,normal,72px,normal,0px,start,"none solid rgb(240, 240, 240)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/StickySections/,BODY,658176.0,2571,16px,"rgb(255, 255, 255)",auto,auto,"area-variable, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(255, 255, 255)",none,none,none,"rgb(18, 16, 14)",none,0% 0%,repeat,auto
https://tympanus.net/Development/StickySections/,MAIN,647936.0,2531,16px,"rgb(255, 255, 255)",auto,auto,"area-variable, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(255, 255, 255)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/StickySections/,P,458496.0,199,48px,"rgb(255, 255, 255)",auto,auto,"area-variable, sans-serif",400,normal,57.6px,normal,0px,start,"none solid rgb(255, 255, 255)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/StickySections/,P,458496.0,199,48px,"rgb(255, 255, 255)",auto,auto,"area-variable, sans-serif",400,normal,57.6px,normal,0px,start,"none solid rgb(255, 255, 255)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
